instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_1167_n162_m2.gml;161;331;0.025699;2;28;4.1118;0.079099;6;3.244705065390996;4;6;0.5198872784556914;0.01424518535880308;0.2530714564522265;0.31086328799968593;0.471976401179941;3;-0.09577670892756464;0.07909901357394772;0.05029451744449479;7.737233123879575;0.6065771270334241;171;
ba_1172_n146_m2.gml;146;300;0.028342;2;26;4.1096;0.083634;6;3.2232126102458247;4;6;0.516930472989403;0.015593344880071382;0.27531122294999694;0.312798110472911;0.4769736842105263;3;-0.10794871398711464;0.08363384727283056;0.04439746300211417;7.253490630395222;0.6142808459595634;155;
ba_1185_n151_m2.gml;148;299;0.027487;2;20;4.0405;0.045626;6;3.3109021183345506;4;6;0.505990411536461;0.015982364808196516;0.19168461667461792;0.30401649763429633;0.4273255813953488;3;-0.12993915388399974;0.045626462693026164;0.027745664739884393;6.806004769491273;0.5962449654432069;152;
ba_1198_n190_m3.gml;190;627;0.034921;2;35;6.6;0.112798;5;2.822825484764543;3;5;0.4298102396468274;0.00977532483691498;0.130087207954144;0.3567126113389121;0.504;5;-0.023987238490325465;0.11279778249239002;0.09431906614785993;11.66823822830579;1.289582895099174;438;
ba_1211_n90_m2.gml;89;203;0.051839;2;18;4.5618;0.125535;5;2.8284307536927153;3;5;0.5089776023778033;0.02138588519836099;0.18559501234848386;0.3550217988567778;0.49162011173184356;3;-0.12914339132653294;0.12553549116668747;0.08656036446469248;7.359719518159534;0.8363304179180415;115;
ba_1216_n148_m3.gml;148;444;0.040816;2;23;6.0;0.093441;5;2.798119065010957;3;5;0.41973547271614464;0.01244625951083877;0.11852116717800001;0.35869810693734244;0.47419354838709676;4;-0.14414213762398248;0.0934409857666689;0.07063599458728011;9.148602558138617;1.1057110851048473;297;
ba_1217_n141_m3.gml;141;432;0.043769;2;34;6.1277;0.125812;5;2.680448669584025;3;5;0.36701699384214503;0.012227300226687951;0.17392804830471797;0.3745070230382803;0.5363984674329502;4;-0.12592807904836004;0.12581167349853095;0.08110065170166546;10.196092187764469;1.1802426620248379;292;
ba_1226_n195_m3.gml;195;618;0.032672;2;30;6.3385;0.083189;5;2.8678500986193294;3;5;0.449588898344691;0.009754574254333882;0.10777033613475379;0.3510897902835014;0.49238578680203043;5;-0.03394852895978876;0.08318919508264785;0.07389651182013555;11.051701020557898;1.3010010742773928;424;
ba_1229_n191_m3.gml;190;596;0.033194;2;30;6.2737;0.083627;5;2.9038227146814406;3;5;0.49777900068002623;0.010208440723558304;0.11176652033946709;0.3464645981771884;0.4772727272727273;4;-0.03525404619507999;0.08362680184013854;0.07093263276412085;10.31126663318393;1.2304797583527336;407;
ba_122_n191_m3.gml;191;597;0.032902;2;43;6.2513;0.106873;5;2.7992105479564704;3;5;0.3153553999240963;0.00959758325423798;0.18193696926450087;0.3593259043453339;0.5177111716621253;4;-0.11017134504201523;0.1068727021990377;0.0696437207802676;11.038830688180608;1.3560939292793195;407;
