instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_6001_n116_m2.gml;116;242;0.036282;2;27;4.1724;0.133074;7;3.218935790725327;4;7;0.6378727839202044;0.019709881901154684;0.27786447387527297;0.31419917994205804;0.47717842323651455;3;-0.046759030971591946;0.13307358350461798;0.09218436873747494;7.619784080487413;0.498046182727274;127;
ba_6004_n121_m2.gml;120;237;0.033193;2;19;3.95;0.110508;6;3.1805555555555554;4;6;0.5055250296034366;0.018705787399705645;0.2077378736338465;0.31585501925671716;0.4490566037735849;3;-0.1706311110068846;0.11050838401651095;0.051762940735183796;6.462250031182863;0.5979656743495361;118;
ba_600_n89_m2.gml;85;184;0.051541;2;18;4.3294;0.143033;6;2.9204152249134947;3;6;0.5654406983857843;0.023556410516013628;0.1932506079877298;0.3438485274599913;0.4772727272727273;3;-0.09012112486649006;0.1430332508706211;0.11357340720221606;7.072077508651121;0.6930060426173138;100;
ba_6010_n105_m2.gml;104;235;0.043876;2;26;4.5192;0.079314;5;2.895155325443787;3;5;0.5490039393700076;0.018855525780140284;0.27174829503070935;0.3482137040162459;0.5228426395939086;4;-0.13508110896944842;0.07931423905405806;0.08011869436201781;8.049533613159637;0.7085808027358552;132;
ba_6025_n86_m2.gml;86;178;0.0487;2;19;4.1395;0.136982;5;2.8761492698756084;3;5;0.5533955364786416;0.022737932382255226;0.23593815238441507;0.3493807375104328;0.5089820359281437;3;-0.14310787927084376;0.1369821799667361;0.08951175406871609;6.999570245210165;0.6150931563992957;93;
ba_6031_n66_m3.gml;66;204;0.095105;2;19;6.1818;0.167169;5;2.3622589531680442;3;5;0.53632939455842;0.021853146853146852;0.14604839591622157;0.42315237443799153;0.5508474576271186;4;-0.11551058768095325;0.1671688752606287;0.14594594594594595;9.041296049216818;1.3210744512721933;139;
ba_6033_n152_m2.gml;144;318;0.030886;2;22;4.4167;0.109207;6;3.172067901234568;4;6;0.5181411904200212;0.01545246615669151;0.1696800270600263;0.3179471011695425;0.4612903225806452;4;-0.08617187094379537;0.10920713500370363;0.08477666362807658;8.271327228637567;0.5975072597797562;175;
ba_6038_n90_m2.gml;87;183;0.048917;2;19;4.2069;0.148107;6;2.9885057471264367;4;6;0.5654424770689123;0.0238030095759234;0.2851999842438476;0.33635044091687705;0.4858757062146893;3;-0.09871258024216983;0.14810733059371897;0.07933398628795299;6.717770222429196;0.4369797406822902;97;
ba_6039_n94_m2.gml;93;187;0.043712;2;25;4.0215;0.134107;5;2.9732917100242804;3;5;0.5399948184726762;0.02203967140853536;0.34461003219259023;0.33854534208755593;0.519774011299435;3;-0.15224781764114187;0.13410684831737463;0.07394366197183098;6.963635460224292;0.590323251024475;95;
ba_6045_n119_m2.gml;117;244;0.035956;2;30;4.1709;0.135448;6;3.0450726860983273;3;6;0.5941246904951374;0.018011507066979328;0.3745656374419177;0.33168965363353986;0.5345622119815668;3;-0.09848816935772557;0.1354479730071346;0.07640994542146756;7.7131558634370645;0.5528685524797332;128;
ba_6069_n52_m2.gml;50;106;0.086531;2;14;4.24;0.119446;5;2.5448;3;5;0.4833218389437828;0.03326530612244898;0.25004825342835546;0.39119489989510386;0.532608695652174;3;-0.25337364987984257;0.11944566544566544;0.09854014598540146;5.886038138564662;0.7595810592178311;57;
