ppo_gnn_LSTM-PreRshaping,ppo_gnn_LSTM-PreRshaping_initial_local_crossings,ppo_gnn_LSTM-PreRshaping_improvement,ppo_gnn_LSTM-PreRshaping_solved,ppo_gnn_LSTM-PreRshaping_runtime
12,21,9,False,3.4
3,5,2,True,0.15
10,14,4,False,2.97
5,7,2,False,2.54
5,5,0,False,2.75
3,7,4,False,2.34
17,21,4,False,3.54
18,24,6,False,4.0
9,13,4,False,3.0
10,12,2,False,3.75
13,15,2,False,3.33
6,8,2,False,2.4
16,17,1,False,3.79
14,18,4,False,4.18
5,7,2,False,2.54
6,6,0,False,2.29
2,3,1,False,2.22
4,6,2,False,2.51
19,23,4,False,3.86
7,9,2,False,3.41
18,26,8,False,4.08
17,21,4,False,3.97
4,6,2,False,2.44
7,8,1,False,2.99
4,7,3,False,2.25
15,18,3,False,3.55
21,25,4,False,4.36
8,9,1,False,2.86
2,3,1,True,0.12
6,8,2,False,2.61
14,20,6,False,3.83
13,15,2,False,4.05
6,6,0,False,2.71
15,20,5,False,3.77
6,12,6,False,2.93
11,14,3,False,3.52
22,30,8,False,4.36
5,6,1,False,2.57
8,9,1,False,2.61
18,21,3,False,3.58
4,5,1,False,2.88
14,17,3,False,3.51
10,11,1,False,2.9
15,17,2,False,3.48
9,10,1,False,3.56
7,13,6,False,3.31
6,7,1,False,2.47
9,13,4,False,3.19
8,10,2,False,2.73
8,15,7,False,2.45
7,12,5,False,2.62
14,17,3,False,3.71
4,5,1,False,2.42
7,9,2,False,3.15
10,13,3,False,3.42
13,14,1,False,3.67
11,15,4,False,3.97
15,21,6,False,4.75
11,14,3,False,3.6
15,19,4,False,4.49
11,14,3,False,3.8
4,8,4,False,3.05
13,14,1,False,5.4
6,13,7,True,0.5
6,8,2,False,3.09
13,17,4,False,3.53
7,12,5,False,3.4
7,10,3,False,2.8
7,10,3,False,3.02
7,8,1,False,3.06
10,13,3,False,3.43
15,16,1,False,5.63
13,15,2,False,3.6
3,4,1,False,2.47
6,9,3,False,3.41
6,10,4,False,3.64
6,6,0,False,3.34
12,17,5,False,3.68
23,26,3,False,5.21
19,21,2,False,4.9
12,14,2,False,3.75
2,2,0,False,2.45
19,22,3,False,4.66
4,6,2,False,2.73
9,12,3,False,3.71
6,8,2,False,3.09
8,10,2,False,3.47
5,10,5,False,2.78
3,5,2,True,2.8
3,5,2,True,0.44
9,12,3,False,3.52
11,12,1,False,3.63
24,30,6,False,4.95
6,11,5,False,2.53
10,13,3,False,3.91
13,19,6,False,4.87
10,13,3,False,3.22
5,7,2,False,2.75
19,23,4,False,5.05
12,12,0,False,3.74
6,8,2,False,3.74
4,4,0,True,0.01
10,13,3,False,3.71
5,7,2,False,2.75
10,12,2,False,3.02
6,8,2,False,3.7
5,8,3,False,3.17
8,10,2,False,2.97
6,8,2,False,4.15
4,10,6,False,2.83
11,14,3,False,3.95
19,23,4,False,5.19
3,6,3,False,2.88
7,8,1,False,2.8
13,17,4,False,4.69
17,24,7,False,5.24
11,15,4,False,3.51
5,6,1,False,3.28
9,13,4,False,3.36
2,4,2,False,2.75
3,6,3,False,3.49
2,4,2,True,1.29
13,19,6,False,4.33
6,8,2,True,0.8
6,11,5,False,3.05
4,7,3,False,2.46
27,30,3,False,5.84
8,10,2,False,4.21
10,12,2,False,4.12
13,18,5,False,4.34
16,28,12,False,5.09
13,15,2,False,4.38
16,24,8,False,4.6
15,19,4,False,4.47
4,7,3,False,2.52
20,30,10,False,4.87
3,7,4,True,1.52
22,24,2,False,5.87
8,9,1,False,3.9
3,5,2,False,2.66
16,22,6,False,5.58
11,15,4,False,5.74
3,5,2,False,3.19
16,22,6,False,5.65
5,10,5,False,2.67
10,18,8,False,3.3
4,7,3,False,3.02
20,23,3,False,5.5
4,5,1,True,0.48
14,20,6,False,4.53
11,18,7,False,3.9
7,8,1,False,3.85
24,26,2,False,5.65
8,10,2,False,2.98
5,5,0,False,3.27
3,7,4,True,0.04
21,27,6,False,5.37
8,9,1,False,3.15
4,6,2,False,3.23
16,19,3,False,5.03
9,18,9,False,3.27
15,19,4,False,4.16
9,15,6,False,4.12
7,10,3,False,3.45
7,11,4,False,3.7
14,18,4,False,4.78
8,13,5,False,2.99
9,12,3,False,3.55
13,23,10,False,4.12
12,13,1,False,4.57
5,6,1,False,2.61
4,5,1,False,3.17
8,12,4,False,2.66
2,5,3,True,1.26
28,33,5,False,5.04
12,18,6,False,4.07
15,18,3,False,5.25
9,11,2,False,3.27
4,4,0,False,2.73
24,29,5,False,5.29
7,8,1,False,2.96
10,11,1,False,3.93
12,16,4,False,4.01
6,8,2,False,2.86
3,5,2,True,0.04
6,13,7,False,2.9
11,13,2,False,3.98
15,20,5,False,4.79
2,3,1,True,0.02
9,11,2,False,3.3
4,7,3,False,2.73
3,6,3,True,0.33
7,9,2,False,2.58
5,6,1,False,3.18
18,25,7,False,4.02
5,7,2,False,3.81
5,7,2,False,2.67
6,7,1,False,3.0
8,12,4,False,3.27
10,14,4,False,3.33
5,7,2,False,2.95
13,13,0,False,3.21
12,21,9,False,3.4
6,9,3,False,2.87
14,22,8,False,4.32
6,6,0,False,2.86
4,6,2,False,2.5
5,8,3,False,2.92
13,18,5,False,5.15
2,3,1,False,2.45
9,13,4,False,4.28
10,18,8,False,3.42
4,7,3,False,2.71
6,7,1,False,3.15
6,10,4,False,3.26
9,17,8,False,3.31
3,6,3,False,2.75
10,15,5,False,3.4
11,13,2,False,4.02
15,21,6,False,4.29
9,11,2,False,3.32
15,22,7,False,3.93
3,5,2,False,2.96
15,17,2,False,4.4
10,16,6,False,4.06
7,9,2,False,3.36
8,13,5,False,3.44
3,4,1,False,2.41
3,6,3,False,2.72
11,16,5,False,3.35
13,16,3,False,4.78
4,6,2,False,3.12
12,12,0,False,3.54
10,13,3,False,4.91
15,19,4,False,4.38
6,10,4,False,3.44
9,12,3,False,3.21
11,19,8,False,3.71
14,16,2,False,4.12
6,6,0,False,2.87
5,9,4,False,3.25
12,14,2,False,4.21
3,6,3,True,1.54
13,16,3,False,4.08
17,19,2,False,4.3
15,19,4,False,4.64
8,11,3,False,3.17
11,13,2,False,3.35
1,1,0,True,0.0
9,10,1,False,3.75
4,6,2,False,2.57
5,7,2,False,2.94
18,21,3,False,5.24
10,13,3,False,4.13
18,19,1,False,5.18
9,10,1,False,3.74
8,12,4,False,2.91
7,9,2,False,2.99
7,10,3,False,2.82
5,5,0,False,2.67
13,17,4,False,3.97
12,13,1,False,4.04
2,3,1,False,2.58
3,3,0,False,2.58
4,6,2,False,2.68
5,7,2,False,2.34
13,15,2,False,4.83
12,18,6,False,4.44
5,7,2,False,2.7
5,6,1,False,2.68
10,11,1,False,3.63
5,7,2,False,2.59
11,12,1,False,3.39
10,14,4,False,3.18
17,23,6,False,4.51
5,6,1,False,3.09
6,9,3,False,2.82
13,15,2,False,4.62
6,9,3,False,2.87
13,21,8,False,4.89
8,10,2,False,3.72
6,8,2,False,3.14
10,17,7,False,4.23
6,8,2,False,2.85
12,17,5,False,4.05
7,7,0,False,3.06
10,13,3,False,3.74
12,15,3,False,3.98
6,7,1,False,3.15
8,9,1,False,3.43
3,4,1,False,2.72
11,12,1,False,3.69
5,6,1,False,2.6
20,23,3,False,5.66
5,8,3,False,2.8
8,11,3,False,3.2
17,27,10,False,4.95
6,9,3,False,2.91
4,5,1,False,2.65
2,4,2,True,0.01
17,22,5,False,4.23
3,5,2,False,2.37
5,9,4,False,2.9
9,11,2,False,3.11
15,18,3,False,4.27
6,8,2,False,3.94
6,6,0,False,3.85
11,12,1,False,4.21
12,18,6,False,5.18
4,4,0,False,2.61
7,12,5,False,3.46
16,21,5,False,4.0
8,9,1,False,3.57
17,27,10,False,4.56
7,9,2,False,3.0
9,12,3,False,3.26
12,15,3,False,4.06
20,21,1,False,5.61
5,7,2,False,3.21
6,11,5,False,3.22
11,15,4,False,3.31
13,16,3,False,3.85
7,8,1,False,3.37
14,20,6,False,4.94
14,16,2,False,4.32
2,2,0,False,2.56
11,11,0,False,4.2
13,25,12,False,4.57
7,10,3,False,3.26
10,15,5,False,2.98
7,9,2,False,3.14
15,21,6,False,4.93
10,13,3,False,3.29
14,19,5,False,4.57
7,7,0,False,2.83
13,16,3,False,4.71
2,3,1,True,0.04
7,9,2,False,2.89
5,11,6,False,2.96
8,15,7,False,3.21
8,10,2,False,2.82
13,18,5,False,4.83
2,2,0,True,0.01
3,6,3,True,0.02
9,14,5,False,3.19
9,13,4,False,3.55
2,6,4,False,2.62
9,10,1,False,3.43
14,18,4,False,3.53
13,15,2,False,5.13
6,7,1,False,2.77
7,9,2,False,3.79
8,8,0,False,3.86
4,7,3,False,2.58
19,23,4,False,5.29
8,16,8,False,3.92
9,12,3,False,2.88
13,19,6,False,4.12
10,17,7,False,3.65
6,9,3,False,3.46
7,9,2,False,3.02
6,7,1,False,2.79
8,11,3,False,2.85
13,15,2,False,3.36
